,genesymbol_intercell_source,genesymbol_intercell_target,receptor_SCZ_risk,ligand_SCZ_risk,source,target,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources,category_intercell_source,parent_intercell_source,database_intercell_source,scope_intercell_source,aspect_intercell_source,category_source_intercell_source,uniprot_intercell_source,entity_type_intercell_source,consensus_score_intercell_source,transmitter_intercell_source,receiver_intercell_source,secreted_intercell_source,plasma_membrane_transmembrane_intercell_source,plasma_membrane_peripheral_intercell_source,category_intercell_target,parent_intercell_target,database_intercell_target,scope_intercell_target,aspect_intercell_target,category_source_intercell_target,uniprot_intercell_target,entity_type_intercell_target,consensus_score_intercell_target,transmitter_intercell_target,receiver_intercell_target,secreted_intercell_target,plasma_membrane_transmembrane_intercell_target,plasma_membrane_peripheral_intercell_target
0,NTN1,DCC,True,False,O95631,P43146,True,False,True,True,False,27,Baccin2019:10399920;Baccin2019:12810718;Baccin2019:8861902;Baccin2019:9950216;BioGRID:12810718;BioGRID:9950216;CellTalkDB:8861902;Cellinker:10399920;Cellinker:12810718;Cellinker:8861902;Cellinker:9950216;DIP:19721007;HPMR:11239160;HPMR:12810718;HPMR:8861902;HPRD:12810718;HPRD:9950216;IntAct:19721007;IntAct:26190107;LRdb:10399920;LRdb:12810718;LRdb:8861902;LRdb:9950216;connectomeDB2020:10399920;connectomeDB2020:12810718;connectomeDB2020:8861902;connectomeDB2020:9950216,Baccin2019;BioGRID;CellTalkDB;Cellinker;DIP;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;IntAct;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,post_translational,10399920;11239160;12810718;19721007;26190107;8861902;9950216,7,23,15,ligand,ligand,,generic,functional,resource_specific,O95631,protein,10,True,False,True,False,False,receptor,receptor,talklr;Cellinker;scConnect;connectomeDB2020;CellCall;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P43146,protein,14,False,True,False,True,False
0,IGFBPL1,DCC,True,False,Q8WX77,P43146,False,False,False,False,False,1,Cellinker:32822567,Cellinker;Wojtowicz2020,post_translational,32822567,1,2,2,ligand,ligand,,generic,functional,resource_specific,Q8WX77,protein,1,True,False,True,False,False,receptor,receptor,talklr;Cellinker;scConnect;connectomeDB2020;CellCall;iTALK;Almen2009;CellCellInteractions;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P43146,protein,14,False,True,False,True,False
0,PTN,PTPRZ1,False,True,P21246,P23471,True,False,True,True,False,18,Baccin2019:10706604;Baccin2019:16814777;BioGRID:10706604;CellChatDB:25620911;CellChatDB:28356350;CellPhoneDB:25644401;CellTalkDB:25644401;Cellinker:10706604;Cellinker:16814777;Cellinker:25620911;Cellinker:28356350;HPMR:10706604;HPRD:10706604;HPRD:16814777;LRdb:10706604;LRdb:17;connectomeDB2020:10706604;connectomeDB2020:16814777,Baccin2019;BioGRID;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,post_translational,10706604;16814777;17;25620911;25644401;28356350,6,27,15,ligand,ligand,,generic,functional,resource_specific,P21246,protein,15,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P23471,protein,16,False,True,True,True,False
0,EFNA5,EPHB1,False,True,P52803,P54762,False,False,False,False,False,4,CellTalkDB:9245480;HPRD:9245480;LRdb:9245480;connectomeDB2020:9245480,CellTalkDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;connectomeDB2020;iTALK;talklr,post_translational,9245480,1,11,8,ligand,ligand,,generic,functional,resource_specific,P52803,protein,10,True,False,False,True,True,receptor,receptor,,generic,functional,resource_specific,P54762,protein,19,False,True,False,True,False
0,PTN,SDC2,False,True,P21246,P34741,False,False,False,False,False,4,CellChatDB:25620911;CellChatDB:28356350;Cellinker:25620911;Cellinker:28356350,CellChatDB;Cellinker,post_translational,25620911;28356350,2,2,2,ligand,ligand,,generic,functional,resource_specific,P21246,protein,15,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P34741,protein,12,False,True,False,True,False
0,EFNA5,EPHA2,False,True,P52803,P29317,True,False,True,True,False,17,Baccin2019:9330863;CellChatDB:15114347;CellPhoneDB:15114347;Cellinker:15114347;Cellinker:9245480;Cellinker:9330863;DIP:20228801;DIP:20505120;HPRD:9245480;ICELLNET:9530499;IntAct:20228801;IntAct:20505120;LRdb:11114742;ProtMapper:22570727;SIGNOR:9330863;connectomeDB2020:9245480;connectomeDB2020:9330863,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;IntAct;LRdb;ProtMapper;REACH_ProtMapper;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Sparser_ProtMapper;Wang;connectomeDB2020;iTALK;talklr,post_translational,11114742;15114347;20228801;20505120;22570727;9245480;9330863;9530499,8,32,19,ligand,ligand,,generic,functional,resource_specific,P52803,protein,10,True,False,False,True,True,receptor,receptor,,generic,functional,resource_specific,P29317,protein,19,False,True,False,True,False
0,FGF1,FGFR1,True,False,P05230,P11362,True,False,True,True,False,47,Baccin2019:10336501;Baccin2019:11032250;Baccin2019:8663044;Baccin2019:8756477;BioGRID:1309595;BioGRID:1383494;BioGRID:8756477;BioGRID:9624181;CellTalkDB:16597617;Cellinker:10336501;Cellinker:11032250;Cellinker:16597617;Cellinker:25772309;Cellinker:8663044;Cellinker:8756477;DIP:10830168;DIP:1722683;DIP:22244757;DIP:7730326;HPMR:8663044;HPRD:10336501;HPRD:11032250;IntAct:10830168;IntAct:14613973;IntAct:18441324;IntAct:25241761;LRdb:16597617;Lit-BM-17:10830168;Lit-BM-17:11030354;Lit-BM-17:11714710;Lit-BM-17:1722683;Lit-BM-17:18441324;Lit-BM-17:23597563;Lit-BM-17:25241761;Lit-BM-17:7730326;Lit-BM-17:8576175;MatrixDB:18441324;SIGNOR:11030354;SIGNOR:18940940;SignaLink3:11030354;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:8576175;connectomeDB2020:10336501;connectomeDB2020:11032250;connectomeDB2020:8663044;connectomeDB2020:8756477,Baccin2019;BioGRID;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;IntAct;LRdb;Lit-BM-17;MatrixDB;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;Wang;connectomeDB2020;iTALK;talklr,post_translational,10336501;10830168;11030354;11032250;11714710;1309595;1383494;14613973;16597617;1722683;18441324;18940940;21071413;22244757;23331499;23597563;25241761;25772309;7730326;8576175;8663044;8756477;9624181,23,32,22,ligand,ligand,,generic,functional,resource_specific,P05230,protein,18,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P11362,protein,18,False,True,False,True,False
0,FGF2,FGFR1,True,False,P09038,P11362,True,False,True,True,False,39,Baccin2019:10950949;Baccin2019:11030354;BioGRID:10950949;BioGRID:11786412;BioGRID:14505356;BioGRID:15096041;BioGRID:16829530;BioGRID:8868466;BioGRID:9174056;CellTalkDB:16597617;Cellinker:10950949;Cellinker:11030354;Cellinker:16597617;Cellinker:25772309;DIP:10574979;DIP:10950949;DIP:17086194;DIP:1722683;DIP:7730326;HPRD:10950949;HPRD:11030354;IntAct:10490103;IntAct:11030354;IntAct:14613973;IntAct:23597563;IntAct:26267536;LRdb:16597617;Lit-BM-17:10490103;Lit-BM-17:10574979;Lit-BM-17:10950949;Lit-BM-17:11030354;Lit-BM-17:1722683;Lit-BM-17:23597562;Lit-BM-17:23597563;Lit-BM-17:26267536;Lit-BM-17:7730326;Lit-BM-17:9174056;connectomeDB2020:10950949;connectomeDB2020:11030354,Baccin2019;BioGRID;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;IntAct;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,post_translational,10490103;10574979;10950949;11030354;11786412;14505356;14613973;15096041;16597617;16829530;17086194;1722683;23597562;23597563;25772309;26267536;7730326;8868466;9174056,19,25,18,ligand,ligand,,generic,functional,resource_specific,P09038,protein,18,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P11362,protein,18,False,True,False,True,False
0,FGF9,FGFR1,True,False,P31371,P11362,False,False,False,False,False,6,Baccin2019:10574949;CellTalkDB:16597617;Cellinker:25772309;HPRD:10574949;LRdb:16597617;connectomeDB2020:10574949,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;InnateDB-All_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr,post_translational,10574949;16597617;25772309,3,22,14,ligand,ligand,,generic,functional,resource_specific,P31371,protein,17,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P11362,protein,18,False,True,False,True,False
0,FGF17,FGFR1,True,False,O60258,P11362,True,False,True,True,False,6,Baccin2019:10751172;CellTalkDB:16597617;Cellinker:25772309;HPRD:10751172;LRdb:16597617;connectomeDB2020:10751172,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;InnateDB-All_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr,post_translational,10751172;16597617;25772309,3,22,14,ligand,ligand,,generic,functional,resource_specific,O60258,protein,18,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P11362,protein,18,False,True,False,True,False
0,FGF13,FGFR1,True,False,Q92913,P11362,False,False,False,False,False,2,CellTalkDB:16597617;LRdb:16597617,CellTalkDB;DLRP_talklr;EMBRACE;LRdb;Wang;iTALK;talklr,post_translational,16597617,1,7,6,ligand,ligand,,generic,functional,resource_specific,Q92913,protein,14,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P11362,protein,18,False,True,False,True,False
0,FGF11,FGFR1,True,False,Q92914,P11362,False,False,False,False,False,2,CellTalkDB:16597617;LRdb:16597617,CellTalkDB;DLRP_talklr;EMBRACE;LRdb;Wang;iTALK;talklr,post_translational,16597617,1,7,6,ligand,ligand,,generic,functional,resource_specific,Q92914,protein,9,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P11362,protein,18,False,True,False,True,False
0,FGF14,FGFR1,True,False,Q92915,P11362,False,False,False,False,False,2,CellTalkDB:16597617;LRdb:16597617,CellTalkDB;DLRP_talklr;EMBRACE;LRdb;Wang;iTALK;talklr,post_translational,16597617,1,7,6,ligand,ligand,,generic,functional,resource_specific,Q92915,protein,9,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P11362,protein,18,False,True,False,True,False
0,FGF12,FGFR1,True,False,P61328,P11362,False,False,False,False,False,2,CellTalkDB:16597617;LRdb:16597617,CellTalkDB;DLRP_talklr;EMBRACE;LRdb;Wang;iTALK;talklr,post_translational,16597617,1,7,6,ligand,ligand,,generic,functional,resource_specific,P61328,protein,9,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P11362,protein,18,False,True,False,True,False
0,FGF5,FGFR1,True,False,P12034,P11362,True,False,True,True,False,9,Baccin2019:83868288386828;CellTalkDB:16597617;Cellinker:16597617;Cellinker:25772309;DIP:8386828;HPRD:8386828;LRdb:16597617;SIGNOR:8386828;connectomeDB2020:8386828,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;InnateDB-All_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;Wang;connectomeDB2020;iTALK;talklr,post_translational,16597617;25772309;8386828;83868288386828,4,27,16,ligand,ligand,,generic,functional,resource_specific,P12034,protein,16,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P11362,protein,18,False,True,False,True,False
0,FGF20,FGFR1,True,False,Q9NP95,P11362,True,False,True,True,False,5,CellTalkDB:16597617;Cellinker:25772309;Cellinker:31276493;LRdb:16597617;connectomeDB2020:16597617,CellCall;CellChatDB;CellTalkDB;Cellinker;LRdb;Wang;connectomeDB2020,post_translational,16597617;25772309;31276493,3,7,7,ligand,ligand,,generic,functional,resource_specific,Q9NP95,protein,15,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P11362,protein,18,False,True,False,True,False
0,ANOS1,FGFR1,True,False,P23352,P11362,False,False,False,False,False,10,BioGRID:20874775;BioGRID:23189990;CellTalkDB:19696444;Cellinker:19696444;IntAct:19696444;LRdb:19696444;Lit-BM-17:19696444;Ramilowski2015:19696444;connectomeDB2020:19696444;talklr:19696444,BioGRID;CellTalkDB;Cellinker;Fantom5_LRdb;IntAct;LRdb;Lit-BM-17;Ramilowski2015;STRING_talklr;connectomeDB2020;iTALK;talklr,post_translational,19696444;20874775;23189990,3,12,10,ligand,ligand,,generic,functional,resource_specific,P23352,protein,6,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P11362,protein,18,False,True,False,True,False
0,SPARC,FGFR1,True,False,P09486,P11362,False,False,False,False,False,1,Cellinker:14505356,Cellinker,post_translational,14505356,1,1,1,ligand,ligand,,generic,functional,resource_specific,P09486,protein,1,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P11362,protein,18,False,True,False,True,False
0,FRS3,FGFR1,True,False,O43559,P11362,False,False,False,False,False,3,Cellinker:9660748;HPRD:10629055;HPRD:9660748,Cellinker;HPRD,post_translational,10629055;9660748,2,2,2,ligand,ligand,,generic,functional,resource_specific,O43559,protein,1,True,False,True,False,False,receptor,receptor,,generic,functional,resource_specific,P11362,protein,18,False,True,False,True,False
0,JAG2,NOTCH4,True,False,Q9Y219,Q99466,True,True,True,True,True,6,CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;Cellinker:22353464;Cellinker:29910816;connectomeDB2020:22353464,CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;KEGG-MEDICUS;LRdb;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,post_translational,22353464;29910816,2,16,12,ligand,ligand,talklr;Cellinker;connectomeDB2020;iTALK;EMBRACE;CellTalkDB;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,Q9Y219,protein,11,True,False,False,True,False,receptor,receptor,,generic,functional,resource_specific,Q99466,protein,21,False,True,False,True,False
0,DLL1,NOTCH4,True,False,O00548,Q99466,True,False,True,True,False,6,CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:22353464;Cellinker:22353464;Cellinker:29910816;connectomeDB2020:22353464,CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;KEGG-MEDICUS;LRdb;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,post_translational,22353464;29910816,2,16,12,ligand,ligand,talklr;Cellinker;scConnect;connectomeDB2020;CellCall;iTALK;EMBRACE;CellPhoneDB;GO_Intercell;CellChatDB;CellTalkDB;Ramilowski2015;Guide2Pharma;DGIdb;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,O00548,protein,10,True,False,False,True,False,receptor,receptor,,generic,functional,resource_specific,Q99466,protein,21,False,True,False,True,False
0,JAG1,NOTCH4,True,False,P78504,Q99466,True,True,True,True,True,11,ACSN:22330899;ACSN:22363130;CellChatDB:22353464;CellPhoneDB:22353464;CellTalkDB:24563863;Cellinker:22353464;Cellinker:29910816;LRdb:24563863;Ramilowski2015:24563863;connectomeDB2020:24563863;talklr:24563863,ACSN;Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;KEGG-MEDICUS;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,post_translational,22330899;22353464;22363130;24563863;29910816,5,21,15,ligand,ligand,talklr;connectomeDB2020;iTALK;EMBRACE;CellTalkDB;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,P78504,protein,12,True,False,False,True,False,receptor,receptor,,generic,functional,resource_specific,Q99466,protein,21,False,True,False,True,False
