"","top","model_type","test","gene","stat","pval","fdr","gene_index","ensembl","results"
"10908",2,"enrichment","Sp09D02","MT-ND2",14.1380625023274,3.0094883696616e-34,1.83954976595565e-30,12213,"ENSG00000198763","c(""Sp09D02_top2""; ""Sp09D02-Sp09D04_top11""; ""Sp09D02-Sp09D06_top10""; ""Sp09D02-Sp09D07_top4""; ""Sp09D02-Sp09D09_top6"")"
"10909",3,"enrichment","Sp09D02","MT-ND1",13.8311507824316,3.62496194452206e-33,1.47717199239274e-29,12212,"ENSG00000198888","c(""Sp09D02_top3""; ""Sp09D02-Sp09D04_top18""; ""Sp09D02-Sp09D06_top4""; ""Sp09D02-Sp09D07_top8""; ""Sp09D02-Sp09D09_top4""; ""Sp09D02-Sp09D01_top18"")"
"10910",4,"enrichment","Sp09D02","C1orf61",13.6274953112458,1.88140710032408e-32,5.75005045036548e-29,840,"ENSG00000125462","c(""Sp09D02_top4""; ""Sp09D02-Sp09D04_top15""; ""Sp09D02-Sp09D05_top13""; ""Sp09D02-Sp09D07_top18""; ""Sp09D02-Sp09D08_top9""; ""Sp09D02-Sp09D01_top5"")"
"10911",5,"enrichment","Sp09D02","CXCL14",13.5514745735582,3.47530994863664e-32,8.49713282441657e-29,3499,"ENSG00000145824","c(""Sp09D02_top5""; ""Sp09D02-Sp09D04_top5""; ""Sp09D02-Sp09D06_top1""; ""Sp09D02-Sp09D07_top2""; ""Sp09D02-Sp09D08_top10""; ""Sp09D02-Sp09D09_top1""; ""Sp09D03-Sp09D07_top5""; ""Sp09D03-Sp09D09_top18""; ""Sp09D02-Sp09D01_top10"")"
"10912",6,"enrichment","Sp09D02","MT-ND6",13.4454487627072,8.170694699047e-32,1.46302446308756e-28,12223,"ENSG00000198695","c(""Sp09D02_top6""; ""Sp09D02-Sp09D06_top8""; ""Sp09D02-Sp09D07_top16""; ""Sp09D02-Sp09D09_top11"")"
"10913",7,"enrichment","Sp09D02","MT-ND5",13.442350329573,8.37723618945842e-32,1.46302446308756e-28,12222,"ENSG00000198786","c(""Sp09D02_top7""; ""Sp09D02-Sp09D04_top13""; ""Sp09D02-Sp09D06_top9""; ""Sp09D02-Sp09D07_top5""; ""Sp09D02-Sp09D09_top5"")"
"10914",8,"enrichment","Sp09D02","MT-ND4L",12.9877310749246,3.2256195195838e-30,4.92914982836399e-27,12220,"ENSG00000212907","c(""Sp09D02_top8""; ""Sp09D02-Sp09D06_top11""; ""Sp09D02-Sp09D07_top9""; ""Sp09D02-Sp09D09_top7"")"
"10915",9,"enrichment","Sp09D02","MTRNR2L12",12.7224006905353,2.68311393065176e-29,3.64456308913531e-26,2371,"ENSG00000269028","c(""Sp09D02_top9""; ""Sp09D02-Sp09D06_top18""; ""Sp09D02-Sp09D07_top11""; ""Sp09D02-Sp09D09_top13"")"
"10916",10,"enrichment","Sp09D02","MT-ND4",12.7002146436647,3.20164215457828e-29,3.68940742721059e-26,12221,"ENSG00000198886","c(""Sp09D02_top10""; ""Sp09D02-Sp09D06_top6""; ""Sp09D02-Sp09D07_top14""; ""Sp09D02-Sp09D09_top9"")"
"10917",11,"enrichment","Sp09D02","MT3",12.6956661822138,3.31971220444307e-29,3.68940742721059e-26,9102,"ENSG00000087250","c(""Sp09D02_top11""; ""Sp09D02-Sp09D01_top4"")"
"10918",12,"enrichment","Sp09D02","SCG3",12.4657742577047,2.0618128644104e-28,2.10047185561809e-25,8520,"ENSG00000104112","c(""Sp09D02_top12""; ""Sp09D02-Sp09D03_top8""; ""Sp09D02-Sp09D06_top2""; ""Sp09D02-Sp09D09_top18""; ""Sp09D02-Sp09D01_top6"")"
"10919",13,"enrichment","Sp09D02","RELN",12.2011780862461,1.66944205566822e-27,1.56991762542646e-24,4734,"ENSG00000189056","c(""Sp09D02_top13""; ""Sp09D02-Sp09D07_top12""; ""Sp09D02-Sp09D09_top10"")"
"10920",14,"enrichment","Sp09D02","CST3",12.1877777148583,1.85539091610418e-27,1.62015385352669e-24,11122,"ENSG00000101439","c(""Sp09D02_top14""; ""Sp09D02-Sp09D04_top17""; ""Sp09D02-Sp09D08_top16"")"
"10921",15,"enrichment","Sp09D02","MT-CO1",12.1676365342867,2.17442682554576e-27,1.77215786281979e-24,12214,"ENSG00000198804","c(""Sp09D02_top15""; ""Sp09D02-Sp09D06_top5""; ""Sp09D02-Sp09D09_top8""; ""Sp09D02-Sp09D01_top16"")"
"10922",16,"enrichment","Sp09D02","AHCYL1",11.6750899193392,1.02872685228105e-25,7.86011610570988e-23,631,"ENSG00000168710","Sp09D02_top16"
"10923",17,"enrichment","Sp09D02","MT1G",11.6289318779045,1.4729914930034e-25,1.05925417658627e-22,9107,"ENSG00000125144","c(""Sp09D02_top17""; ""Sp09D02-Sp09D08_top13"")"
"10924",18,"enrichment","Sp09D02","MT-ATP6",11.4484292668007,5.96994365253366e-25,4.05458673067911e-22,12217,"ENSG00000198899","c(""Sp09D02_top18""; ""Sp09D02-Sp09D06_top13""; ""Sp09D02-Sp09D09_top12"")"
"10925",19,"enrichment","Sp09D02","AL627171.2",11.3881374015839,9.51243594969334e-25,6.12050155184217e-22,8084,"ENSG00000282885","Sp09D02_top19"
"10926",20,"enrichment","Sp09D02","FABP7",11.1959191723246,4.17757932337143e-24,2.55354536141078e-21,4202,"ENSG00000164434","Sp09D02_top20"
"10927",21,"enrichment","Sp09D02","CLU",11.1565020298102,5.65253322796495e-24,3.29058184342245e-21,5023,"ENSG00000120885","c(""Sp09D02-Sp09D04_top12""; ""Sp09D07-Sp09D04_top19"")"
"10928",22,"enrichment","Sp09D02","MT-CYB",11.1085461135084,8.1618873101712e-24,4.53541238031104e-21,12224,"ENSG00000198727","c(""Sp09D02-Sp09D06_top15""; ""Sp09D02-Sp09D09_top14"")"
"10929",23,"enrichment","Sp09D02","ENHO",11.0320167900392,1.46520287908597e-23,7.78787182470696e-21,5464,"ENSG00000168913","Sp09D02-Sp09D01_top2"
"10930",24,"enrichment","Sp09D02","MT-ND3",10.9285187017031,3.22513378737961e-23,1.64280252294649e-20,12219,"ENSG00000198840","Sp09D02-Sp09D06_top19"
"10931",25,"enrichment","Sp09D02","ALDH2",10.8804948073887,4.64664805598767e-23,2.27221089937797e-20,7604,"ENSG00000111275","character(0)"
"13677",1,"enrichment","Sp09D03","HPCAL1",11.2767597470559,2.23838136305646e-24,2.73642121633653e-20,1250,"ENSG00000115756","c(""Sp09D03_top1""; ""Sp09D02-Sp09D04_top10""; ""Sp09D03-Sp09D04_top1""; ""Sp09D03-Sp09D05_top1""; ""Sp09D03-Sp09D06_top9""; ""Sp09D03-Sp09D07_top1""; ""Sp09D03-Sp09D08_top1""; ""Sp09D03-Sp09D09_top19""; ""Sp09D05-Sp09D08_top1""; ""Sp09D07-Sp09D08_top19""; ""Sp09D05-Sp09D04_top1""; ""Sp09D07-Sp09D04_top2""; ""Sp09D09-Sp09D04_top4"")"
"13678",2,"enrichment","Sp09D03","CAMK2N1",9.84780717059034,1.02023885512142e-19,4.15747333461978e-16,164,"ENSG00000162545","c(""Sp09D03_top2""; ""Sp09D03-Sp09D04_top2""; ""Sp09D03-Sp09D05_top3""; ""Sp09D03-Sp09D06_top10""; ""Sp09D03-Sp09D07_top2""; ""Sp09D03-Sp09D08_top2""; ""Sp09D03-Sp09D09_top3""; ""Sp09D05-Sp09D08_top3""; ""Sp09D02-Sp09D01_top7""; ""Sp09D03-Sp09D01_top13""; ""Sp09D05-Sp09D04_top4"")"
"13679",3,"enrichment","Sp09D03","ARPP19",9.60567887476972,5.90883510537345e-19,1.80588772907976e-15,8529,"ENSG00000128989","c(""Sp09D03_top3""; ""Sp09D03-Sp09D04_top10""; ""Sp09D03-Sp09D05_top13""; ""Sp09D03-Sp09D06_top3""; ""Sp09D03-Sp09D08_top3""; ""Sp09D03-Sp09D09_top4""; ""Sp09D05-Sp09D08_top2""; ""Sp09D07-Sp09D09_top13""; ""Sp09D03-Sp09D01_top1""; ""Sp09D03-Sp09D02_top1"")"
"13680",4,"enrichment","Sp09D03","LINC02714",9.44101399609352,1.92843334710776e-18,4.71501953367847e-15,7095,"ENSG00000251226","c(""Sp09D03_top4""; ""Sp09D03-Sp09D05_top2""; ""Sp09D03-Sp09D07_top19""; ""Sp09D03-Sp09D08_top6"")"
"13681",5,"enrichment","Sp09D03","RASGRF2",9.30847202339405,4.96138189940065e-18,1.01088156200288e-14,3366,"ENSG00000113319","c(""Sp09D03_top5""; ""Sp09D05_top16""; ""Sp09D03-Sp09D04_top3""; ""Sp09D03-Sp09D07_top7""; ""Sp09D03-Sp09D09_top10""; ""Sp09D05-Sp09D07_top10""; ""Sp09D05-Sp09D08_top19""; ""Sp09D05-Sp09D04_top3""; ""Sp09D08-Sp09D04_top17"")"
"13682",6,"enrichment","Sp09D03","GNAL",9.18923807625114,1.15443192978252e-17,2.01613290594162e-14,10079,"ENSG00000141404","c(""Sp09D03_top6""; ""Sp09D03-Sp09D04_top16""; ""Sp09D03-Sp09D05_top5""; ""Sp09D03-Sp09D07_top16""; ""Sp09D03-Sp09D09_top15"")"
"13683",7,"enrichment","Sp09D03","C1QL2",9.1060808861304,2.07381209229716e-17,3.16904410354159e-14,1645,"ENSG00000144119","c(""Sp09D03_top7""; ""Sp09D03-Sp09D04_top19""; ""Sp09D03-Sp09D05_top6""; ""Sp09D03-Sp09D07_top20""; ""Sp09D03-Sp09D08_top8"")"
"13684",8,"enrichment","Sp09D03","EGR3",8.34322942182896,3.92273704461613e-15,5.32838448560358e-12,5001,"ENSG00000179388","c(""Sp09D03_top8""; ""Sp09D03-Sp09D06_top5""; ""Sp09D03-Sp09D08_top15""; ""Sp09D03-Sp09D09_top11"")"
"13685",9,"enrichment","Sp09D03","LAMP5",8.23264735606872,8.21430534365425e-15,1.00419882826173e-11,11084,"ENSG00000125869","c(""Sp09D03_top9""; ""Sp09D03-Sp09D04_top4""; ""Sp09D03-Sp09D05_top16""; ""Sp09D03-Sp09D07_top8""; ""Sp09D03-Sp09D09_top14"")"
"13686",10,"enrichment","Sp09D03","SLCO2A1",8.14882317265563,1.43305242669111e-14,1.59264235602716e-11,2507,"ENSG00000174640","c(""Sp09D03_top10""; ""Sp09D03-Sp09D05_top17""; ""Sp09D03-Sp09D08_top17"")"
"13687",11,"enrichment","Sp09D03","GPR83",7.95067326121305,5.27107375872115e-14,5.36990639169718e-11,6929,"ENSG00000123901","Sp09D03_top11"
"13688",12,"enrichment","Sp09D03","PENK",7.93359750186549,5.8919963979588e-14,5.54074276654202e-11,5115,"ENSG00000181195","c(""Sp09D03_top12""; ""Sp09D03-Sp09D04_top15"")"
"13689",13,"enrichment","Sp09D03","PCDH8",7.91029478610335,6.85746298510357e-14,5.98803464234936e-11,7874,"ENSG00000136099","c(""Sp09D03_top13""; ""Sp09D03-Sp09D04_top5""; ""Sp09D03-Sp09D07_top3""; ""Sp09D03-Sp09D09_top2""; ""Sp09D05-Sp09D07_top5""; ""Sp09D05-Sp09D09_top5""; ""Sp09D05-Sp09D04_top9""; ""Sp09D08-Sp09D04_top6""; ""Sp09D08-Sp09D07_top13"")"
"13690",14,"enrichment","Sp09D03","ENC1",7.85901822109215,9.56690861024732e-14,7.79703051735157e-11,3332,"ENSG00000171617","c(""Sp09D03_top14""; ""Sp09D05_top4""; ""Sp09D03-Sp09D04_top6""; ""Sp09D03-Sp09D06_top1""; ""Sp09D03-Sp09D09_top1""; ""Sp09D05-Sp09D06_top1""; ""Sp09D05-Sp09D08_top18""; ""Sp09D05-Sp09D09_top2""; ""Sp09D07-Sp09D09_top7""; ""Sp09D03-Sp09D01_top3""; ""Sp09D05-Sp09D01_top13""; ""Sp09D03-Sp09D02_top2""; ""Sp09D05-Sp09D02_top9""; ""Sp09D05-Sp09D04_top5""; ""Sp09D07-Sp09D06_top5"")"
"13691",15,"enrichment","Sp09D03","CALB1",7.69135152869606,2.81635090239719e-13,2.15186811136285e-10,5193,"ENSG00000104327","c(""Sp09D03_top15""; ""Sp09D03-Sp09D04_top17""; ""Sp09D03-Sp09D07_top11""; ""Sp09D05-Sp09D07_top7""; ""Sp09D05-Sp09D04_top14"")"
"13692",16,"enrichment","Sp09D03","LTK",7.64571138336775,3.76938660171954e-13,2.58003067345686e-10,8451,"ENSG00000062524","Sp09D03_top16"
"13693",17,"enrichment","Sp09D03","NEUROD1",7.64449123262026,3.79881816950703e-13,2.58003067345686e-10,1795,"ENSG00000162992","c(""Sp09D03_top17""; ""Sp09D03-Sp09D07_top15""; ""Sp09D03-Sp09D09_top17""; ""Sp09D05-Sp09D07_top20"")"
"13694",18,"enrichment","Sp09D03","ITPKA",7.6284733125501,4.20689325296237e-13,2.70680368512974e-10,8450,"ENSG00000137825","Sp09D03_top18"
"13695",19,"enrichment","Sp09D03","HOPX",7.55171799135005,6.84718547399345e-13,4.18534212097849e-10,2889,"ENSG00000171476","c(""Sp09D03_top19""; ""Sp09D05_top15""; ""Sp09D03-Sp09D04_top8""; ""Sp09D03-Sp09D06_top15""; ""Sp09D03-Sp09D09_top8""; ""Sp09D05-Sp09D09_top17""; ""Sp09D05-Sp09D04_top7""; ""Sp09D08-Sp09D04_top15"")"
"13696",20,"enrichment","Sp09D03","CALB2",7.49346250710902,9.88994879766744e-13,5.75736305007069e-10,9217,"ENSG00000172137","c(""Sp09D03_top20""; ""Sp09D03-Sp09D04_top20""; ""Sp09D03-Sp09D07_top4""; ""Sp09D03-Sp09D09_top12""; ""Sp09D05-Sp09D07_top13"")"
"13697",21,"enrichment","Sp09D03","CYP46A1",7.46158825800948,1.20847877829768e-12,6.71529684758597e-10,8321,"ENSG00000036530","c(""Sp09D05_top8""; ""Sp09D03-Sp09D06_top18"")"
"13698",22,"enrichment","Sp09D03","LINC00507",7.39439171498597,1.84071795913451e-12,9.78381610887798e-10,7718,"ENSG00000256193","c(""Sp09D03-Sp09D09_top7""; ""Sp09D05-Sp09D09_top18""; ""Sp09D05-Sp09D04_top16"")"
"13699",23,"enrichment","Sp09D03","AC103681.2",7.36485158656684,2.21308047102124e-12,1.12728786492644e-09,6572,"ENSG00000254664","c(""Sp09D05_top19""; ""Sp09D03-Sp09D07_top14""; ""Sp09D03-Sp09D09_top16""; ""Sp09D05-Sp09D07_top9"")"
"13700",24,"enrichment","Sp09D03","PPP3CA",7.33987004040631,2.58525274346446e-12,1.26418859155412e-09,2981,"ENSG00000138814","c(""Sp09D03-Sp09D06_top4""; ""Sp09D03-Sp09D01_top15""; ""Sp09D03-Sp09D02_top12""; ""Sp09D07-Sp09D06_top8""; ""Sp09D09-Sp09D06_top4"")"
"13701",25,"enrichment","Sp09D03","ATP2B1",7.31048373859723,3.10260364781035e-12,1.44495428370771e-09,7502,"ENSG00000070961","c(""Sp09D03-Sp09D06_top11""; ""Sp09D03-Sp09D08_top14""; ""Sp09D05-Sp09D08_top17""; ""Sp09D03-Sp09D02_top17""; ""Sp09D07-Sp09D04_top5""; ""Sp09D07-Sp09D06_top15""; ""Sp09D09-Sp09D06_top14"")"
"15162",1,"enrichment","Sp09D04","PCP4",12.2340865615058,1.28626028182093e-27,1.57245319452609e-23,11435,"ENSG00000183036","c(""Sp09D04_top1""; ""Sp09D04-Sp09D05_top3""; ""Sp09D04-Sp09D06_top13""; ""Sp09D04-Sp09D07_top1""; ""Sp09D04-Sp09D08_top12""; ""Sp09D04-Sp09D09_top2"")"
"15163",2,"enrichment","Sp09D04","TMSB10",11.693810816483,8.88245444348498e-26,5.42940027858019e-22,1522,"ENSG00000034510","c(""Sp09D04_top2""; ""Sp09D04-Sp09D05_top1""; ""Sp09D04-Sp09D06_top3""; ""Sp09D04-Sp09D07_top11""; ""Sp09D04-Sp09D08_top2""; ""Sp09D04-Sp09D09_top4""; ""Sp09D04-Sp09D02_top1""; ""Sp09D07-Sp09D02_top9""; ""Sp09D04-Sp09D03_top2""; ""Sp09D07-Sp09D03_top6"")"
"15164",3,"enrichment","Sp09D04","AL353751.1",10.7042120767665,1.76475204668987e-22,6.4828813333785e-19,6163,"ENSG00000232110","c(""Sp09D04_top3""; ""Sp09D04-Sp09D05_top5""; ""Sp09D04-Sp09D07_top4""; ""Sp09D04-Sp09D08_top8""; ""Sp09D04-Sp09D09_top10""; ""Sp09D04-Sp09D03_top19"")"
"15165",4,"enrichment","Sp09D04","TRABD2A",10.6798400874064,2.12118816634061e-22,6.4828813333785e-19,1521,"ENSG00000186854","c(""Sp09D04_top4""; ""Sp09D04-Sp09D05_top6""; ""Sp09D04-Sp09D07_top5""; ""Sp09D04-Sp09D08_top11""; ""Sp09D04-Sp09D09_top9""; ""Sp09D04-Sp09D03_top13"")"
"15166",5,"enrichment","Sp09D04","TTC9B",9.08184607120953,2.46072073614762e-17,6.01646219988093e-14,10733,"ENSG00000174521","c(""Sp09D04_top5""; ""Sp09D04-Sp09D05_top10""; ""Sp09D04-Sp09D01_top14""; ""Sp09D04-Sp09D02_top15""; ""Sp09D04-Sp09D03_top11"")"
"15167",6,"enrichment","Sp09D04","MEPE",8.64887236218214,4.94820724728882e-16,1.0081972266351e-12,2956,"ENSG00000152595","c(""Sp09D04_top6""; ""Sp09D04-Sp09D05_top13"")"
"15168",7,"enrichment","Sp09D04","HTR2C",8.53592548793097,1.06875917851002e-15,1.86651156532643e-12,12069,"ENSG00000147246","c(""Sp09D04_top7""; ""Sp09D04-Sp09D08_top3"")"
